PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
42,27,727,1-1-21-135,135,Malapalla West,මාලපල්ල බටහිර,மாலபல்ல ‍மேற்கு,498B
42,28,728,1-1-21-140,140,Malapalla East,මාලපල්ල නැගෙනහිර,மலபல்ல கிழக்கு,498
42,29,729,1-1-21-145,145,Makumbura North,මාකුඹුර උතුර,மாகும்புர வடக்கு,498A
42,30,730,1-1-21-150,150,Makumbura South,මාකුඹුර දකුණ,மாகும்புர தெற்கு,498C
42,31,731,1-1-21-155,155,Kottawa Town,කොට්ටාව නගරය,கொட்டாவை நகரம்,496B
42,32,732,1-1-21-160,160,Pannipitiya South,පන්නිපිටිය දකුණ,பண்ணிபிட்டிய தெற்கு,531A
42,33,733,1-1-21-165,165,Maharagama Town,මහරගම නගරය,மஹரகம நகரம்,530
42,34,734,1-1-21-170,170,Godigamuwa South,ගොඩිගමුව දකුණ,கொடிகமுவ தெற்கு,532A
42,35,735,1-1-21-175,175,Godigamuwa South B,ගොඩිගමුව දකුණ බී,கொடிகமுவ தெற்கு ' B ',532B
42,36,736,1-1-21-180,180,Godigamuwa North,ගොඩිගමුව උතුර,கொடிகமுவ வடக்கு,532
42,37,737,1-1-21-185,185,Wattegedara,වත්තේගෙදර,வத்தெகெதர,532C
42,38,738,1-1-21-190,190,Navinna,නාවින්න,நாவிண்ண,527
42,39,739,1-1-21-195,195,Wijerama,විජේරාම,வி‍ஜேராம,526C
42,40,740,1-1-21-200,200,Gangodavila South B,ගංගොඩවිල දකුණ බී,கங்கொடவில தெற்கு B,526B
42,41,741,1-1-21-205,205,Jambugasmulla,ජම්බුගස්මුල්ල,ஜம்புகஸ்முள்ள,526D
43,1,742,1-1-24-005,005,Obesekarapura,ඔබේසේකරපුර,ஒ‍‍பே‍சேகரபுர,514C
43,2,743,1-1-24-010,010,Welikada West,වැලිකඩ බටහිර,வெலிகட ‍மேற்கு,514A
43,3,744,1-1-24-015,015,Welikada East,වැලිකඩ නැගෙනහිර,வெலிகட கிழக்கு,514
43,4,745,1-1-24-020,020,Rajagiriya,රාජගිරිය,ராஜகிரிய,514B
